"Market","Channel","Region","Category","SubCategory","Brand","Variant","PackType","PPG","PackSize","Year","Month","Week","Date","BrCatId","SalesValue","Volume","VolumeUnits","D1","D2","D3","D4","D5","D6","AV1","AV2","AV3","AV4","AV5","AV6","EV1","EV2","EV3","EV4","EV5","EV6","PrepDate","ProjCode"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,6,23,"2022-06-04","Brand",51051.5,11090.74,15848,96.6870903563001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,6,24,"2022-06-11","Brand",41321.12,8268.96,11818,93.6616070044659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,6,25,"2022-06-18","Brand",74920.6,19370.27,27672,99.257451034125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,6,26,"2022-06-25","Brand",94602.94,26488.05,37841,99.4811408962559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,7,27,"2022-07-02","Brand",99092.38,27746.26,39639,99.4362743701404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,7,28,"2022-07-09","Brand",104762.33,29332.98,41905,99.5705236331247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,7,29,"2022-07-16","Brand",68352.73,16636.38,23767,98.9573911834993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,7,30,"2022-07-23","Brand",51542.89,10242.16,14635,96.1365624017345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,7,31,"2022-07-30","Brand",50662.59,10064.1,14381,95.6332128681523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,8,32,"2022-08-06","Brand",83301.05,18603.12,26577,99.4438638076452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,8,33,"2022-08-13","Brand",101978.25,23799.14,34001,99.5654724009092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,8,34,"2022-08-20","Brand",97683.2,22790.08,32558,99.5338844784155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,8,35,"2022-08-27","Brand",60327.03,13161.76,18804,98.9507352438141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,9,36,"2022-09-03","Brand",47078.91,9351.14,13361,95.7339537806698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,9,37,"2022-09-10","Brand",43987.14,8769.13,12529,95.0123972534829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,9,38,"2022-09-17","Brand",77271.58,16320.99,23317,98.7973916042635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,9,39,"2022-09-24","Brand",98861.92,21281.97,30403,99.0735532520704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
